Host,Parasite,paraType
Cyprinus carpio,Caryophyllaeus fimbriceps,helminth
Cyprinus carpio,Caryophyllaeus laticeps,helminth
Cyprinus carpio haematopterus,Caryophyllaeus laticeps,helminth
Cyprinus carpio,Caryophyllaeus minutus,helminth
Cyprinus carpio,Centrocestus armatus,helminth
Cyprinus carpio,Centrocestus caninus,helminth
Cyprinus carpio,Centrocestus formosanus,helminth
Cyprinus carpio communis,Centrocestus formosanus,helminth
Cyprinus carpio rubrofuscus,Centrocestus formosanus,helminth
Cyprinus carpio specularis,Centrocestus formosanus,helminth
Cyprinus carpio,Centrocestus taiwanense,helminth
Cyprinus carpio communis,Cleidodiscus floridanus,helminth
Cyprinus carpio,Clinostomum complanatum,helminth
Cyprinus carpio communis,Clinostomum complanatum,helminth
Cyprinus carpio communis,Clinostomum schizothoraxi,helminth
Cyprinus carpio specularis,Clinostomum schizothoraxi,helminth
Cyprinus carpio,Clonorchis sinensis,helminth
Cyprinus carpio,Contracaecum aqualii,helminth
Cyprinus carpio,Contracaecum microcephalum,helminth
Cyprinus carpio communis,Contracaecum multipapillatum,helminth
Cyprinus carpio specularis,Contracaecum multipapillatum,helminth
Cyprinus carpio,Contracaecum spiculigerum,helminth
Cyprinus carpio,Contracaecum squalii,helminth
Cyprinus carpio,Corynosoma strumosum,helminth
Cyprinus carpio,Crepidostomum cooperi,helminth
Cyprinus carpio,Cryptocotyle concava,helminth
Cyprinus carpio,Cucullanus cyprini,helminth
Cyprinus carpio,Cyclustera ralli,helminth
Cyprinus carpio,Dactylogyrus achmerowi,helminth
Cyprinus carpio haematopterus,Dactylogyrus achmerowi,helminth
Cyprinus carpio,Dactylogyrus amphibothrium,helminth
Cyprinus carpio,Dactylogyrus anchoracanthus,helminth
Cyprinus carpio,Dactylogyrus anchoratus,helminth
Cyprinus carpio haematopterus,Dactylogyrus anchoratus,helminth
Cyprinus carpio,Dactylogyrus arcuatus,helminth
Cyprinus carpio,Dactylogyrus arquatus,helminth
Cyprinus carpio,Dactylogyrus auriculatus,helminth
Cyprinus carpio,Dactylogyrus cryptomeres,helminth
Cyprinus carpio,Dactylogyrus cyprini,helminth
Cyprinus carpio,Dactylogyrus extensus,helminth
Cyprinus carpio communis,Dactylogyrus extensus,helminth
Cyprinus carpio haematopterus,Dactylogyrus extensus,helminth
Cyprinus carpio,Dactylogyrus falciformis,helminth
Cyprinus carpio haematopterus,Dactylogyrus falciformis,helminth
Cyprinus carpio,Dactylogyrus formosus,helminth
Cyprinus carpio haematopterus,Dactylogyrus inexpectatus,helminth
Cyprinus carpio,Dactylogyrus intermedius,helminth
Cyprinus carpio haematopterus,Dactylogyrus intermedius,helminth
Cyprinus carpio,Dactylogyrus lamellatus,helminth
Cyprinus carpio,Dactylogyrus lopuchinae,helminth
Cyprinus carpio haematopterus,Dactylogyrus lopuchinae,helminth
Cyprinus carpio,Dactylogyrus minutus,helminth
Cyprinus carpio haematopterus,Dactylogyrus minutus,helminth
Cyprinus carpio,Dactylogyrus molnari,helminth
Cyprinus carpio haematopterus,Dactylogyrus molnari,helminth
Cyprinus carpio,Dactylogyrus mrazeki,helminth
Cyprinus carpio haematopterus,Dactylogyrus mrazeki,helminth
Cyprinus carpio,Dactylogyrus phoxini,helminth
Cyprinus carpio,Dactylogyrus sahuensis,helminth
Cyprinus carpio haematopterus,Dactylogyrus sahuensis,helminth
Cyprinus carpio,Dactylogyrus solidus,helminth
Cyprinus carpio,Dactylogyrus vastator,helminth
Cyprinus carpio haematopterus,Dactylogyrus vastator,helminth
Cyprinus carpio,Dactylogyrus yinwenyingae,helminth
Cyprinus carpio,Digramma interrupta,helminth
Cyprinus carpio,Dilepis unilateralis,helminth
Cyprinus carpio,Diplostomulum clavatum,helminth
Cyprinus carpio,Diplostomum chromatophorum,helminth
Cyprinus carpio haematopterus,Diplostomum chromatophorum,helminth
Cyprinus carpio,Diplostomum flexicaudum,helminth
Cyprinus carpio,Diplostomum helveticum,helminth
Cyprinus carpio,Diplostomum hupehensis,helminth
Cyprinus carpio,Diplostomum mergi,helminth
Cyprinus carpio,Diplostomum niedashui,helminth
Cyprinus carpio,Diplostomum paracaudum,helminth
Cyprinus carpio,Diplostomum paraspathaceum,helminth
Cyprinus carpio,Diplostomum parviventosum,helminth
Cyprinus carpio,Diplostomum rutili,helminth
Cyprinus carpio haematopterus,Diplostomum rutili,helminth
Cyprinus carpio,Diplostomum spathaceum,helminth
Cyprinus carpio,Diplozoon homoion,helminth
Cyprinus carpio communis,Diplozoon kashmirensis,helminth
Cyprinus carpio specularis,Diplozoon kashmirensis,helminth
Cyprinus carpio,Diplozoon nipponicum,helminth
Cyprinus carpio,Diplozoon paradoxum,helminth
Cyprinus carpio,Echinochasmus beleocephalus,helminth
Cyprinus carpio,Echinochasmus fujianensis,helminth
Cyprinus carpio,Echinochasmus japonicus,helminth
Cyprinus carpio haematopterus,Echinochasmus milvi,helminth
Cyprinus carpio,Echinochasmus perfoliatus,helminth
Cyprinus carpio,Echinorhynchus clavula,helminth
Cyprinus carpio,Eubothrium crassum,helminth
Cyprinus carpio,Eudiplozoon nipponicum,helminth
Cyprinus carpio haematopterus,Eudiplozoon nipponicum,helminth
Cyprinus carpio,Glaridacris laruei,helminth
Cyprinus carpio,Glaridacris oligorchis,helminth
Cyprinus carpio,Gnathostoma hispidum,helminth
Cyprinus carpio,Gnathostoma spinigerum,helminth
Cyprinus carpio,Gryporhynchus cheilancristrotus,helminth
Cyprinus carpio,Gryporhynchus pusillum,helminth
Cyprinus carpio,Gyrodactylus baicalensis,helminth
Cyprinus carpio,Gyrodactylus bimicrofaratus,helminth
Cyprinus carpio,Gyrodactylus cyprini,helminth
Cyprinus carpio haematopterus,Gyrodactylus cyprini,helminth
Cyprinus carpio,Gyrodactylus derjavini,helminth
Cyprinus carpio,Gyrodactylus elegans,helminth
Cyprinus carpio haematopterus,Gyrodactylus elegans,helminth
Cyprinus carpio,Gyrodactylus katharineri,helminth
Cyprinus carpio,Gyrodactylus kherulensis,helminth
Cyprinus carpio,Gyrodactylus medius,helminth
Cyprinus carpio haematopterus,Gyrodactylus medius,helminth
Cyprinus carpio,Gyrodactylus nagibinae,helminth
Cyprinus carpio,Gyrodactylus nemachili,helminth
Cyprinus carpio,Gyrodactylus procerus,helminth
Cyprinus carpio,Gyrodactylus schulmani,helminth
Cyprinus carpio,Gyrodactylus shulmani,helminth
Cyprinus carpio,Gyrodactylus sprostonae,helminth
Cyprinus carpio haematopterus,Gyrodactylus sprostonae,helminth
Cyprinus carpio,Gyrodactylus stankovici,helminth
Cyprinus carpio,Gyrodactylus vimbi,helminth
Cyprinus carpio,Haplorchis pumilio,helminth
Cyprinus carpio,Haplorchis taichui,helminth
Cyprinus carpio,Hebesoma violenteum,helminth
Cyprinus carpio,Heterophyopsis continua,helminth
Cyprinus carpio,Hysteromorpha triloba,helminth
Cyprinus carpio,Ichthyocotylurus pileatus,helminth
Cyprinus carpio,Khawia iowensis,helminth
Cyprinus carpio,Khawia japonensis,helminth
Cyprinus carpio haematopterus,Khawia japonensis,helminth
Cyprinus carpio,Khawia sinensis,helminth
Cyprinus carpio,Leptorhynchoides thecatus,helminth
Cyprinus carpio,Ligula intestinalis,helminth
Cyprinus carpio,Macrostomum borealis,helminth
Cyprinus carpio haematopterus,Markevitschia sagittata,helminth
Cyprinus carpio,Metagonimus takahashii,helminth
Cyprinus carpio,Metagonimus yokogawai,helminth
Cyprinus carpio,Metarhadinorhynchus cyprini,helminth
Cyprinus carpio,Nanophyetus salmincola,helminth
Cyprinus carpio,Neascus cuticola,helminth
Cyprinus carpio specularis,Neascus vetestai,helminth
Cyprinus carpio,Neodiplostomum perlatum,helminth
Cyprinus carpio,Neoechinorhynchus australis,helminth
Cyprinus carpio communis,Neoechinorhynchus manasbalanse,helminth
Cyprinus carpio,Neoechinorhynchus rutili,helminth
Cyprinus carpio,Neogryporhynchus cheilancristrotus,helminth
Cyprinus carpio,Nicolla skrjabini,helminth
Cyprinus carpio,Opisthorchis felineus,helminth
Cyprinus carpio,Orientotrema japonica,helminth
Cyprinus carpio,Orientotrema sinensis,helminth
Cyprinus carpio,Ornithocapillaria appendiculata,helminth
Cyprinus carpio,Pallisentis celatus,helminth
Cyprinus carpio,Parabucephalopsis prosthorchis,helminth
Cyprinus carpio,Paradilepis scolecina,helminth
Cyprinus carpio,Paradiplozoon alburni,helminth
Cyprinus carpio haematopterus,Paradiplozoon cyprini,helminth
Cyprinus carpio,Paradiplozoon homoion,helminth
Cyprinus carpio,Paradiplozoon homoion,helminth
Cyprinus carpio,Paradiplozoon zeller,helminth
Cyprinus carpio,Parasymphylodora markewitschi,helminth
Cyprinus carpio,Philometra cyprini,helminth
Cyprinus carpio,Philometra lusii,helminth
Cyprinus carpio,Philometroides cyprini,helminth
Cyprinus carpio,Philometroides lusiana,helminth
Cyprinus carpio haematopterus,Philometroides lusiana,helminth
Cyprinus carpio,Phyllodistomum dogieli,helminth
Cyprinus carpio,Phyllodistomum elongatum,helminth
Cyprinus carpio,Phyllodistomum Vitellarinus,helminth
Cyprinus carpio,Polymorphus brevis,helminth
Cyprinus carpio,Pomphorhynchus bulbocolli,helminth
Cyprinus carpio communis,Pomphorhynchus fotedari,helminth
Cyprinus carpio communis,Pomphorhynchus kashmirensis,helminth
Cyprinus carpio specularis,Pomphorhynchus kawi,helminth
Cyprinus carpio,Pomphorhynchus laevis,helminth
Cyprinus carpio communis,Pomphorhynchus manasbalensis,helminth
Cyprinus carpio specularis,Pomphorhynchus megacanthus,helminth
Cyprinus carpio communis,Pomphorhynchus oreini,helminth
Cyprinus carpio,Porrocaecum reticulatum,helminth
Cyprinus carpio,Posthodiplostomum brevicaudatum,helminth
Cyprinus carpio,Posthodiplostomum cuticola,helminth
Cyprinus carpio,Proteocephalus exiguus,helminth
Cyprinus carpio,Proteocephalus torulosus,helminth
Cyprinus carpio communis,Proteocephalus torulosus,helminth
Cyprinus carpio,Pseudacolpenteron pavlovskii,helminth
Cyprinus carpio,Pseudocapillaria tomentosa,helminth
Cyprinus carpio,Pseudocapillaria Pseudocapillaria,helminth
Cyprinus carpio x Carassius auratus,Pseudocapillaria Pseudocapillaria,helminth
Cyprinus carpio,Pseudorhipidocotyle elopichthys,helminth
Cyprinus carpio,Raphidascaris acus,helminth
Cyprinus carpio,Rhabdochona cyprini,helminth
Cyprinus carpio,Rhabdochona denudata,helminth
Cyprinus carpio specularis,Rhabdochona guptii,helminth
Cyprinus carpio,Rhabdochona soodi,helminth
Cyprinus carpio,Rhipidocotyle campanula,helminth
Cyprinus carpio,Sanguinicola armata,helminth
Cyprinus carpio,Sanguinicola inermis,helminth
Cyprinus carpio,Schulmanella petruschewskii,helminth
Cyprinus carpio,Skrjabillanus cyprinae,helminth
Cyprinus carpio,Sphaerostomum bramae,helminth
Cyprinus carpio,Sphaerostomum globiporum,helminth
Cyprinus carpio,Spinitectus gigi,helminth
Cyprinus carpio,Spinitectus gracilis,helminth
Cyprinus carpio,Spiroxys contorta,helminth
Cyprinus carpio,Syncuaria squamata,helminth
Cyprinus carpio,Tetraonchus monenteron,helminth
Cyprinus carpio,Thominx petruschewskii,helminth
Cyprinus carpio,Triaenophorus nodulosus,helminth
Cyprinus carpio,Tylodelphys clavata,helminth
Cyprinus carpio,Valipora campylancristrota,helminth
Cyprinus carpio,Valipora unilateralis,helminth
Esox lucius,Diplostomidae metacercaraie,helminth
Esox lucius,Acanthocephalus anguillae,helminth
Esox lucius,Acanthocephalus clavula,helminth
Esox lucius,Acanthocephalus dirus,helminth
Esox lucius,Acanthocephalus jacksoni,helminth
Esox lucius,Acanthocephalus lucii,helminth
Esox lucius,Allocreadium isoporum,helminth
Esox lucius,Allocreadium lobatum,helminth
Esox lucius,Ancyrocephalus paradoxus,helminth
Esox lucius,Anguillicola crassus,helminth
Esox lucius,Anisakis schupakovi,helminth
Esox lucius,Apophallus muehlingi,helminth
Esox lucius,Apophallus venustus,helminth
Esox lucius,Ascocotyle coleostoma,helminth
Esox lucius,Asymphylodora kubanicum,helminth
Esox lucius,Azygia angusticauda,helminth
Esox lucius,Azygia longa,helminth
Esox lucius,Azygia lucii,helminth
Esox lucius,Azygia mirabilis,helminth
Esox lucius,Azygia robusta,helminth
Esox lucius,Bothriocephalus acheilognathi,helminth
Esox lucius,Bothriocephalus cuspidatus,helminth
Esox lucius,Bothriocephalus scorpii,helminth
Esox lucius,Bucephalus polymorphus,helminth
Esox lucius,Bunodera luciopercae,helminth
Esox lucius,Camallanus lacustris,helminth
Esox lucius,Camallanus oxycephalus,helminth
Esox lucius,Camallanus truncatus,helminth
Esox lucius,Caryophyllaeus laticeps,helminth
Esox lucius,Centrovarium lobotes,helminth
Esox lucius,Clinostomum complanatum,helminth
Esox lucius,Clinostomum marginatum,helminth
Esox lucius,Corynosoma semerme,helminth
Esox lucius,Corynosoma strumosum,helminth
Esox lucius,Cotylurus pileatus,helminth
Esox lucius,Cotylurus platycephalus,helminth
Esox lucius,Crepidostomum cooperi,helminth
Esox lucius,Crepidostomum farionis,helminth
Esox lucius,Cucullanellus minutus,helminth
Esox lucius,Cucullanus truttae,helminth
Esox lucius,Cyathocephalus truncatus,helminth
Esox lucius,Cystidicoloides ephemeridarum,helminth
Esox lucius,Cystidicoloides tenuissima,helminth
Esox lucius,Dactylogyrus auriculatus,helminth
Esox lucius,Dactylogyrus robustus,helminth
Esox lucius,Desportesius brevicaudatus,helminth
Esox lucius,Dioctophyme renale,helminth
Esox lucius,Diphyllobothrium latum,helminth
Esox lucius,Diplodiscus subclavatus,helminth
Esox lucius,Diplostomulum scheuringi,helminth
Esox lucius,Diplostomum chromatophorum,helminth
Esox lucius,Diplostomum clavatum,helminth
Esox lucius,Diplostomum helveticum,helminth
Esox lucius,Diplostomum indistinctum,helminth
Esox lucius,Diplostomum paraspathaceum,helminth
Esox lucius,Diplostomum parviventosum,helminth
Esox lucius,Diplostomum pseudobaeri,helminth
Esox lucius,Diplostomum rutili,helminth
Esox lucius,Diplostomum spathaceum,helminth
Esox lucius,Diplostomum volvens,helminth
Esox lucius,Diplozoon paradoxum,helminth
Esox lucius,Distomum tereticolle,helminth
Esox lucius,Echinorhynchus acus,helminth
Esox lucius,Echinorhynchus angustatus,helminth
Esox lucius,Echinorhynchus bothniensis,helminth
Esox lucius,Echinorhynchus gadi,helminth
Esox lucius,Echinorhynchus lateralis,helminth
Esox lucius,Echinorhynchus leidyi,helminth
Esox lucius,Echinorhynchus salmonis,helminth
Esox lucius,Echinorhynchus truttae,helminth
Esox lucius,Esocinema bohemicum,helminth
Esox lucius,Eubothrium crassum,helminth
Esox lucius,Eustrongylides excisus,helminth
Esox lucius,Eustrongylides mergorum,helminth
Esox lucius,Glaridacris catostomi,helminth
Esox lucius,Gyrodactylus lucii,helminth
Esox lucius,Hemiurus communis,helminth
Esox lucius,Hemiurus luehei,helminth
Esox lucius,Hysterothylacium aduncum,helminth
Esox lucius,Hysterothylacium brachyurum,helminth
Esox lucius,Ichthyocotylurus pileatus,helminth
Esox lucius,Ichthyocotylurus platycephalus,helminth
Esox lucius,Leptorhynchoides thecatus,helminth
Esox lucius,Ligula intestinalis,helminth
Esox lucius,Maritrema obstipum,helminth
Esox lucius,Metagonimus yokogawai,helminth
Esox lucius,Metechinorhynchus lateralis,helminth
Esox lucius,Metechinorhynchus salmonis,helminth
Esox lucius,Microphallus opacus,helminth
Esox lucius,Neascus brevicaudatum,helminth
Esox lucius,Neascus musculicola,helminth
Esox lucius,Neoechinorhynchus cylindratus,helminth
Esox lucius,Neoechinorhynchus rutili,helminth
Esox lucius,Neoechinorhynchus strigosus,helminth
Esox lucius,Neoechinorhynchus tenellus,helminth
Esox lucius,Neoechinorhynchus tumidus,helminth
Esox lucius,Nicolla skrjabini,helminth
Esox lucius,Paracoenogonimus ovatus,helminth
Esox lucius,Philometra abdominalis,helminth
Esox lucius,Philometra obturans,helminth
Esox lucius,Philometra rischta,helminth
Esox lucius,Phyllodistomum folium,helminth
Esox lucius,Phyllodistomum pseudofolium,helminth
Esox lucius,Phyllodistomum simile,helminth
Esox lucius,Phyllodistomum staffordi,helminth
Esox lucius,Phyllodistomum superbum,helminth
Esox lucius,Pomphorhynchus bulbocolli,helminth
Esox lucius,Pomphorhynchus laevis,helminth
Esox lucius,Posthodiplostomum brevicaudatum,helminth
Esox lucius,Posthodiplostomum cuticola,helminth
Esox lucius,Posthodiplostomum minimum,helminth
Esox lucius,Proteocephalus ambiguus,helminth
Esox lucius,Proteocephalus ambloplitis,helminth
Esox lucius,Proteocephalus cernuae,helminth
Esox lucius,Proteocephalus esocis,helminth
Esox lucius,Proteocephalus exiguus,helminth
Esox lucius,Proteocephalus longicollis,helminth
Esox lucius,Proteocephalus percae,helminth
Esox lucius,Proteocephalus pinguis,helminth
Esox lucius,Proteocephalus stizostethi,helminth
Esox lucius,Proteocephalus torulosus,helminth
Esox lucius,Proteocephalus tumidocollus,helminth
Esox lucius,Pseudocapillaria Ichthyocapillaria,helminth
Esox lucius,Pseudocapillaria Pseudocapillaria,helminth
Esox lucius,Pseudoechinorhynchus borealis,helminth
Esox lucius,Pseudoechinorhynchus clavula,helminth
Esox lucius,Raphidascaris acus,helminth
Esox lucius,Rhabdochona denudata,helminth
Esox lucius,Rhipidocotyle campanula,helminth
Esox lucius,Rhipidocotyle fennica,helminth
Esox lucius,Rhipidocotyle illense,helminth
Esox lucius,Sanguinicola armata,helminth
Esox lucius,Sanguinicola inermis,helminth
Esox lucius,Sanguinicola volgensis,helminth
Esox lucius,Schistocephalus solidus,helminth
Esox lucius,Scolex pleuronectis,helminth
Esox lucius,Sphaerostomum bramae,helminth
Esox lucius,Sphaerostomum globiporum,helminth
Esox lucius,Spinitectus carolini,helminth
Esox lucius,Spinitectus gracilis,helminth
Esox lucius,Spiroxys contorta,helminth
Esox lucius,Sterliadochona tenuissima,helminth
Esox lucius,Tetracotyle echinata,helminth
Esox lucius,Tetracotyle percae-fluviatilis,helminth
Esox lucius,Tetracotyle variegatus,helminth
Esox lucius,Tetraonchus alaskensis,helminth
Esox lucius,Tetraonchus cernuae,helminth
Esox lucius,Tetraonchus monenteron,helminth
Esox lucius,Triaenophorus crassus,helminth
Esox lucius,Triaenophorus lucii,helminth
Esox lucius,Triaenophorus meridionalis,helminth
Esox lucius,Triaenophorus nodulosus,helminth
Esox lucius,Triaenophorus procerus,helminth
Esox lucius,Triaenophorus robustus,helminth
Esox lucius,Triaenophorus tricuspidatus,helminth
Esox lucius,Tylodelphys clavata,helminth
Esox lucius,Tylodelphys podicipina,helminth
Esox lucius,Uvulifer ambloplitis,helminth
Macquaria ambigua,Diplectanum fluviatilis,helminth
Macquaria ambigua,Goezia fluviatalis,helminth
Macquaria ambigua,Paracapillaria Paracapillaria,helminth
Oncorhynchus tshawytscha,Anisakidae larva,helminth
Oncorhynchus tshawytscha,Trypanorhyncha larva,helminth
Oncorhynchus tshawytscha,Acanthocephalus dirus,helminth
Oncorhynchus tshawytscha,Brachyphallus crenatus,helminth
Oncorhynchus tshawytscha,Capillaria salvelini,helminth
Oncorhynchus tshawytscha,Crepidostomum farionis,helminth
Oncorhynchus tshawytscha,Cyathocephalus truncatus,helminth
Oncorhynchus tshawytscha,Cystidicola farionis,helminth
Oncorhynchus tshawytscha,Derogenes varicus,helminth
Oncorhynchus tshawytscha,Diplostomum baeri,helminth
Oncorhynchus tshawytscha,Diplostomum spathaceum,helminth
Oncorhynchus tshawytscha,Echinorhynchus gadi,helminth
Oncorhynchus tshawytscha,Echinorhynchus salmonis,helminth
Oncorhynchus tshawytscha,Echinorhynchus salmonis,helminth
Oncorhynchus tshawytscha,Eubothrium crassum,helminth
Oncorhynchus tshawytscha,Eubothrium salvelini,helminth
Oncorhynchus tshawytscha,Genolinea anura,helminth
Oncorhynchus tshawytscha,Gilquinia squali,helminth
Oncorhynchus tshawytscha,Haplonema hamulatum,helminth
Oncorhynchus tshawytscha,Hedruris spinigera,helminth
Oncorhynchus tshawytscha,Hepatoxylon trichiuri,helminth
Oncorhynchus tshawytscha,Lampritrema miescheri,helminth
Oncorhynchus tshawytscha,Lecithaster gibbosus,helminth
Oncorhynchus tshawytscha,Lecithocladium seriolellae,helminth
Oncorhynchus tshawytscha,Nanophyetus salmincola,helminth
Oncorhynchus tshawytscha,Nanophyetus salmincola,helminth
Oncorhynchus tshawytscha,Neoechinorhynchus rutili,helminth
Oncorhynchus tshawytscha,Neoechinorhynchus saginatus,helminth
Oncorhynchus tshawytscha,Neoechinorhynchus salmonis,helminth
Oncorhynchus tshawytscha,Neoechinorhynchus tumidus,helminth
Oncorhynchus tshawytscha,Nybelinia surmenicola,helminth
Oncorhynchus tshawytscha,Octomacrum lanceatum,helminth
Oncorhynchus tshawytscha,Philonema oncorhynchi,helminth
Oncorhynchus tshawytscha,Proteocephalus parallacticus,helminth
Oncorhynchus tshawytscha,Pseudocapillaria Ichthyocapillaria,helminth
Oncorhynchus tshawytscha,Tentacularia coryphaenae,helminth
Oncorhynchus tshawytscha,Tubulovesicula angusticauda,helminth
Oncorhynchus tshawytscha,Tubulovesicula lindbergi,helminth
Oncorhynchus tshawytscha,Anisakidae larva,helminth
Oncorhynchus tshawytscha,Trypanorhyncha larva,helminth
Oncorhynchus tshawytscha,Acanthocephalus dirus,helminth
Oncorhynchus tshawytscha,Brachyphallus crenatus,helminth
Oncorhynchus tshawytscha,Capillaria salvelini,helminth
Oncorhynchus tshawytscha,Crepidostomum farionis,helminth
Oncorhynchus tshawytscha,Cyathocephalus truncatus,helminth
Oncorhynchus tshawytscha,Cystidicola farionis,helminth
Oncorhynchus tshawytscha,Derogenes varicus,helminth
Oncorhynchus tshawytscha,Diplostomum baeri,helminth
Oncorhynchus tshawytscha,Diplostomum spathaceum,helminth
Oncorhynchus tshawytscha,Echinorhynchus gadi,helminth
Oncorhynchus tshawytscha,Echinorhynchus salmonis,helminth
Oncorhynchus tshawytscha,Echinorhynchus salmonis,helminth
Oncorhynchus tshawytscha,Eubothrium crassum,helminth
Oncorhynchus tshawytscha,Eubothrium salvelini,helminth
Oncorhynchus tshawytscha,Genolinea anura,helminth
Oncorhynchus tshawytscha,Gilquinia squali,helminth
Oncorhynchus tshawytscha,Haplonema hamulatum,helminth
Oncorhynchus tshawytscha,Hedruris spinigera,helminth
Oncorhynchus tshawytscha,Hepatoxylon trichiuri,helminth
Oncorhynchus tshawytscha,Lampritrema miescheri,helminth
Oncorhynchus tshawytscha,Lecithaster gibbosus,helminth
Oncorhynchus tshawytscha,Lecithocladium seriolellae,helminth
Oncorhynchus tshawytscha,Nanophyetus salmincola,helminth
Oncorhynchus tshawytscha,Nanophyetus salmincola,helminth
Oncorhynchus tshawytscha,Neoechinorhynchus rutili,helminth
Oncorhynchus tshawytscha,Neoechinorhynchus saginatus,helminth
Oncorhynchus tshawytscha,Neoechinorhynchus salmonis,helminth
Oncorhynchus tshawytscha,Neoechinorhynchus tumidus,helminth
Oncorhynchus tshawytscha,Nybelinia surmenicola,helminth
Oncorhynchus tshawytscha,Octomacrum lanceatum,helminth
Oncorhynchus tshawytscha,Philonema oncorhynchi,helminth
Oncorhynchus tshawytscha,Proteocephalus parallacticus,helminth
Oncorhynchus tshawytscha,Pseudocapillaria Ichthyocapillaria,helminth
Oncorhynchus tshawytscha,Tentacularia coryphaenae,helminth
Oncorhynchus tshawytscha,Tubulovesicula angusticauda,helminth
Oncorhynchus tshawytscha,Tubulovesicula lindbergi,helminth
Oncorhynchus tshawytscha,Anisakidae larva,helminth
Oncorhynchus tshawytscha,Trypanorhyncha larva,helminth
Oncorhynchus tshawytscha,Acanthocephalus dirus,helminth
Oncorhynchus tshawytscha,Brachyphallus crenatus,helminth
Oncorhynchus tshawytscha,Capillaria salvelini,helminth
Oncorhynchus tshawytscha,Crepidostomum farionis,helminth
Oncorhynchus tshawytscha,Cyathocephalus truncatus,helminth
Oncorhynchus tshawytscha,Cystidicola farionis,helminth
Oncorhynchus tshawytscha,Derogenes varicus,helminth
Oncorhynchus tshawytscha,Diplostomum baeri,helminth
Oncorhynchus tshawytscha,Diplostomum spathaceum,helminth
Oncorhynchus tshawytscha,Echinorhynchus gadi,helminth
Oncorhynchus tshawytscha,Echinorhynchus salmonis,helminth
Oncorhynchus tshawytscha,Echinorhynchus salmonis,helminth
Oncorhynchus tshawytscha,Eubothrium crassum,helminth
Oncorhynchus tshawytscha,Eubothrium salvelini,helminth
Oncorhynchus tshawytscha,Genolinea anura,helminth
Oncorhynchus tshawytscha,Gilquinia squali,helminth
Oncorhynchus tshawytscha,Haplonema hamulatum,helminth
Oncorhynchus tshawytscha,Hedruris spinigera,helminth
Oncorhynchus tshawytscha,Hepatoxylon trichiuri,helminth
Oncorhynchus tshawytscha,Lampritrema miescheri,helminth
Oncorhynchus tshawytscha,Lecithaster gibbosus,helminth
