vVirusNameCorrected,hHostNameFinal,reservoir.status,spillover.capacity,animal.severity,trans.route,lower.mort,upper.mort,inf.period,symptoms,human.trans,recombination,notes,WildDomInReference,DetectionMethod,hOrder,hFamily,hGenus,hSpecies,vOrder,vFamily,vSubfamily,vGenus,vGenomeAveLength,vCytoReplicTF,vSegmentedTF,vSSoDS,vDNAoRNA,vEnvelope,References_traits,References_detection..Olival.et.al..2017.,avg.mort,AdultBodyMass_g,LitterSize,MaxLongevity_m,GestationLen_d,hAllZACites,hDiseaseZACites,phylo.dist.humans.species,zoonoses,TotVirus,max_breadth,max_hum_dist,Genome.comp,IsZoonotic.stringent,trans.stat
Andes_virus,Oligoryzomys_fulvescens,1,1,1,"fecal-oral, respiratory",37,37,1,hantavirus cardiopulmonary syndrome (HCPS),2,high,Only hantavirus with recorded human-to-human transmission,wild,Isolation,RODENTIA,CRICETIDAE,Oligoryzomys,fulvescens,Bunyavirales,Hantaviridae,NA,Orthohantavirus,10233,TRUE,TRUE,SS,RNA,enveloped,Ferres et al. 2007; Martinez et al. 2005; Toro et al. 1998,Hanson et al. 2011,37,25,3.64,21.5,20.59,16,9,0.804582995,2,2,0.624938321,0.877599404,ssRNA(-),1,direct_host
Andes_virus,Oligoryzomys_longicaudatus,1,1,1,"fecal-oral, respiratory",37,37,1,hantavirus cardiopulmonary syndrome (HCPS),2,high,Only hantavirus with recorded human-to-human transmission,wild,PCR,RODENTIA,CRICETIDAE,Oligoryzomys,longicaudatus,Bunyavirales,Hantaviridae,NA,Orthohantavirus,10233,TRUE,TRUE,SS,RNA,enveloped,Ferres et al. 2007; Martinez et al. 2005; Toro et al. 1998,Medina et al. 2009,37,27.54,4.77,21.5,20.59,62,23,0.823007688,2,2,0.624938321,0.877599404,ssRNA(-),1,direct_host
Andes_virus,Necromys_lasiurus,1,1,1,"fecal-oral, respiratory",37,37,1,hantavirus cardiopulmonary syndrome (HCPS),2,high,Only hantavirus with recorded human-to-human transmission,wild,PCR,RODENTIA,CRICETIDAE,Necromys,lasiurus,Bunyavirales,Hantaviridae,NA,Orthohantavirus,10233,TRUE,TRUE,SS,RNA,enveloped,Ferres et al. 2007; Martinez et al. 2005; Toro et al. 1998,Suzuki et al. 2004,37,39.93,4.5,11,21.97,29,6,0.84488123,1,1,0.624938321,0.877599404,ssRNA(-),1,direct_host
Andes_virus,Loxodontomys_micropus,1,1,1,"fecal-oral, respiratory",37,37,1,hantavirus cardiopulmonary syndrome (HCPS),2,high,Only hantavirus with recorded human-to-human transmission,wild,PCR,RODENTIA,CRICETIDAE,Loxodontomys,micropus,Bunyavirales,Hantaviridae,NA,Orthohantavirus,10233,TRUE,TRUE,SS,RNA,enveloped,Ferres et al. 2007; Martinez et al. 2005; Toro et al. 1998,Informatics 2010; Medina et al. 2009,37,70.76,4.16,24,20.11,19,4,0.859790639,1,1,0.624938321,0.877599404,ssRNA(-),1,direct_host
Andes_virus,Akodon_montensis,1,1,1,"fecal-oral, respiratory",37,37,1,hantavirus cardiopulmonary syndrome (HCPS),2,high,Only hantavirus with recorded human-to-human transmission,wild,PCR,RODENTIA,CRICETIDAE,Akodon,montensis,Bunyavirales,Hantaviridae,NA,Orthohantavirus,10233,TRUE,TRUE,SS,RNA,enveloped,Ferres et al. 2007; Martinez et al. 2005; Toro et al. 1998,Chu et al. 2003,37,13.52,5,12,23,50,12,0.866599801,1,1,0.624938321,0.877599404,ssRNA(-),1,direct_host
Araraquara_virus,Necromys_lasiurus,1,1,1,"fecal-oral, respiratory",40,44.5,1,hantavirus cardiopulmonary syndrome (HCPS),2,high,The most virulent hantavirus in South America,wild,PCR,RODENTIA,CRICETIDAE,Necromys,lasiurus,Bunyavirales,Hantaviridae,NA,Orthohantavirus,12000,TRUE,TRUE,SS,RNA,enveloped,Figueiredo et al. 2009; Figueiredo et al. 2010,de Figueirodo et al. 2010,42.25,39.93,4.5,11,21.97,29,6,0.84488123,1,1,NA,0.84488123,ssRNA(-),1,direct_host
Australian_bat_lyssavirus,Saccolaimus_saccolaimus,1,1,4,saliva,100,100,1,encephalitis,1,low,Only three human cases - all have been fatal; infectious period ranges from 20-28 days ,wild,Isolation,CHIROPTERA,EMBALLONURIDAE,Saccolaimus,saccolaimus,Mononegavirales,Rhabdoviridae,NA,Lyssavirus,11822,TRUE,FALSE,SS,RNA,enveloped,Fraser et al. 1996; Speare et al. 1997; Francis et al. 2014; Field 2018,Calisher et al. 2006,100,43,1,60,106.86,47,11,0.843178764,1,1,0.673767253,0.881400953,ssRNA(-),1,direct_host
Australian_bat_lyssavirus,Saccolaimus_flaviventris,1,1,4,saliva,100,100,1,encephalitis,1,low,Only three human cases - all have been fatal; infectious period ranges from 20-28 days ,wild,Isolation,CHIROPTERA,EMBALLONURIDAE,Saccolaimus,flaviventris,Mononegavirales,Rhabdoviridae,NA,Lyssavirus,11822,TRUE,FALSE,SS,RNA,enveloped,Calisher et al. 2006; Francis et al. 2014; Field 2018 ,Calisher et al. 2006; Wong et al. 2007,100,45.25,1,60,106.86,10,3,0.766251337,1,1,0.673767253,0.881400953,ssRNA(-),1,direct_host
Australian_bat_lyssavirus,Pteropus_scapulatus,1,1,4,saliva,100,100,1,encephalitis,1,low,Only three human cases - all have been fatal; infectious period ranges from 20-28 days ,wild,Isolation,CHIROPTERA,PTEROPODIDAE,Pteropus,scapulatus,Mononegavirales,Rhabdoviridae,NA,Lyssavirus,11822,TRUE,FALSE,SS,RNA,enveloped,Calisher et al. 2006; Wong et al. 2007; Gould et al. 2002; Francis et al. 2014,Speare et al. 1997,100,380.35,1,179.76,136.875,97,18,0.692546817,3,3,0.673767253,0.881400953,ssRNA(-),1,direct_host
Australian_bat_lyssavirus,Pteropus_poliocephalus,1,1,4,saliva,100,100,1,encephalitis,1,low,Only three human cases - all have been fatal; infectious period ranges from 20-28 days ,wild,Isolation,CHIROPTERA,PTEROPODIDAE,Pteropus,poliocephalus,Mononegavirales,Rhabdoviridae,NA,Lyssavirus,11822,TRUE,FALSE,SS,RNA,enveloped,Fraser et al. 1996; Speare et al. 1997; Francis et al. 2014; Field 2018,Mackenzie 1999; Gould et al. 2002; Wong et al. 2007,100,702.78,1,180,187.72,184,26,0.652159956,4,5,0.673767253,0.881400953,ssRNA(-),1,direct_host
Australian_bat_lyssavirus,Pteropus_alecto,1,1,4,saliva,100,100,1,encephalitis,1,low,Only three human cases - all have been fatal; bats are the only known reservoir (unlike rabies which has many other terrestrial reservoirs); prevalence of ABLV differs widely btw bat species (Weir et al. 2014. Recent observations on Australian bat lyssavirus tropism and viral entry),wild,Isolation,CHIROPTERA,PTEROPODIDAE,Pteropus,alecto,Mononegavirales,Rhabdoviridae,NA,Lyssavirus,11822,TRUE,FALSE,SS,RNA,enveloped,Fraser et al. 1996; Speare et al. 1997; Francis et al. 2014; Field 2018,Speare et al. 1997,100,610.13,1,53.9999,177.517,92,24,0.672699967,3,3,0.673767253,0.881400953,ssRNA(-),1,direct_host
Australian_bat_lyssavirus,Pteropus_conspicillatus,1,1,4,saliva,100,100,1,encephalitis,1,low,Only three human cases - all have been fatal; infectious period ranges from 20-28 days ,wild,Isolation,CHIROPTERA,PTEROPODIDAE,Pteropus,conspicillatus,Mononegavirales,Rhabdoviridae,NA,Lyssavirus,11822,TRUE,FALSE,SS,RNA,enveloped,Mackenzie 1999; Gould et al. 2002; Wong et al. 2007; Field et al. 1999; McColl et al. 2002; Francis et al. 2014; Field 2018; Samaratunga et al. 2002,Wong et al. 2007; Mackenzie et al. 2001,100,760.71,1,179.76,212.917,36,14,0.664170347,3,3,0.673767253,0.881400953,ssRNA(-),1,direct_host
Bayou_virus,Oryzomys_palustris,1,1,1,aerosolized excreta,20,20,1,hantavirus cardiopulmonary syndrome (HCPS),1,high,"5 lab confirmed cases, 1 death",wild,Isolation,RODENTIA,CRICETIDAE,Oryzomys,palustris,Bunyavirales,Hantaviridae,NA,Orthohantavirus,12155,TRUE,TRUE,SS,RNA,enveloped,Nugent et al. 2018; Knust and Rollin 2013; Morzunov et al. 1995,Ksiazek et al. 1997,20,53.26,4.08,28.5,24.74,210,53,0.80769032,2,3,0.49180355,0.80769032,ssRNA(-),1,direct_host
Black_Creek_Canal_virus,Sigmodon_hispidus,1,1,1,aerosolized excreta,0,0,1,hantavirus cardiopulmonary syndrome (HCPS),1,high,There's only been one lab confirmed human case,wild,Isolation,RODENTIA,CRICETIDAE,Sigmodon,hispidus,Bunyavirales,Hantaviridae,NA,Orthohantavirus,15450,TRUE,TRUE,SS,RNA,enveloped,Knust and Rollin 2013,Rollin et al. 1995,0,110.65,5.44,62.4,27,887,268,0.801486624,4,7,0,0.801486624,ssRNA(-),1,direct_host
Borna_disease_virus,Crocidura_leucodon,1,0,1,"saliva, nasal excretia",0,0,1,reported psychiatric symptoms debated (largely debunked); encephalitis also posited,1,low,"Shrew is thought to be the potential reservoir for horses and sheep, but there have also been stiuesi finding plenty of endemic infections in health horses and shepp too...Genotypes of horse-like borna found in humans but no transmission demonstrated outside of squirrel. Squirrel cases appear to be highly fatal (though note that all 4 patients were older and had pre-exisiting conditions). Horse transmission documented between humans through organ donation.",wild,PCR,EULIPOTYPHLA,SORICIDAE,Crocidura,leucodon,Mononegavirales,Bornaviridae,NA,Bornavirus,8910,FALSE,FALSE,SS,RNA,enveloped,Chare et al. 2003,Hilbe et al. 2006,0,10.88,3.36,36,30.99,242,39,0.849241618,1,1,0.807756979,0.849241618,ssRNA(-),1,reservoir_only
Borna_disease_virus,Vulpes_vulpes,1,0,1,"saliva, nasal excretia",0,0,1,reported psychiatric symptoms debated (largely debunked); encephalitis also posited,1,low,Genotypes of horse-like borna found in humans but no transmission demonstrated outside of squirrel. Squirrel cases appear to be highly fatal (though note that all 4 patients were older and had pre-exisiting conditions). Horse transmission documented between humans through organ donation.,wild,PCR,CARNIVORA,CANIDAE,Vulpes,vulpes,Mononegavirales,Bornaviridae,NA,Bornavirus,8910,FALSE,FALSE,SS,RNA,enveloped,Chare et al. 2003,Dauphin et al. 2001,0,4820.36,4.59,180,52.5,4433,1477,0.773730607,2,3,0.807756979,0.849241618,ssRNA(-),1,reservoir_only
Borna_disease_virus,Macaca_fuscata,1,0,1,"saliva, nasal excretia",0,0,1,reported psychiatric symptoms debated (largely debunked); encephalitis also posited,1,low,Genotypes of horse-like borna found in humans but no transmission demonstrated outside of squirrel. Squirrel cases appear to be highly fatal (though note that all 4 patients were older and had pre-exisiting conditions). Horse transmission documented between humans through organ donation.,wild,PCR,PRIMATES,CERCOPITHECIDAE,Macaca,fuscata,Mononegavirales,Bornaviridae,NA,Bornavirus,8910,FALSE,FALSE,SS,RNA,enveloped,Chare et al. 2003,Hagiwara et al. 2008,0,10114.76,1.02,396,172.99,1339,87,0.393434055,4,5,0.807756979,0.849241618,ssRNA(-),1,reservoir_only
Borna_disease_virus,Capra_hircus,1,0,1,"saliva, nasal excretia",0,0,1,reported psychiatric symptoms debated (largely debunked); encephalitis also posited,1,low,Genotypes of horse-like borna found in humans but no transmission demonstrated outside of squirrel. Squirrel cases appear to be highly fatal (though note that all 4 patients were older and had pre-exisiting conditions). Horse transmission documented between humans through organ donation.,domestic,PCR,CETARTIODACTYLA,BOVIDAE,Capra,hircus,Mononegavirales,Bornaviridae,NA,Bornavirus,8910,FALSE,FALSE,SS,RNA,enveloped,Chare et al. 2003,Zhang et al. 2014,0,47386.47,1.45,249.6,156,1557,796,0.650446559,5,18,0.807756979,0.849241618,ssRNA(-),1,reservoir_only
Borna_disease_virus,Bos_taurus,1,0,1,"saliva, nasal excretia",0,0,1,reported psychiatric symptoms debated (largely debunked); encephalitis also posited,1,low,Genotypes of horse-like borna found in humans but no transmission demonstrated outside of squirrel. Squirrel cases appear to be highly fatal (though note that all 4 patients were older and had pre-exisiting conditions). Horse transmission documented between humans through organ donation.,domestic,PCR,CETARTIODACTYLA,BOVIDAE,Bos,taurus,Mononegavirales,Bornaviridae,NA,Bornavirus,8910,FALSE,FALSE,SS,RNA,enveloped,Chare et al. 2003,Dauphin et al. 2001,0,618642.42,1,240,280.48,4238,2742,0.682652136,11,46,0.807756979,0.849241618,ssRNA(-),1,reservoir_only
Borna_disease_virus,Lama_glama,1,0,1,"saliva, nasal excretia",0,0,1,reported psychiatric symptoms debated (largely debunked); encephalitis also posited,1,low,Genotypes of horse-like borna found in humans but no transmission demonstrated outside of squirrel. Squirrel cases appear to be highly fatal (though note that all 4 patients were older and had pre-exisiting conditions). Horse transmission documented between humans through organ donation.,wild,PCR,CETARTIODACTYLA,CAMELIDAE,Lama,pacos,Mononegavirales,Bornaviridae,NA,Bornavirus,8910,FALSE,FALSE,SS,RNA,enveloped,Chare et al. 2003,Jacobsen et al. 2010,0,78322.67,1,339.6,342.74,556,269,0.733792126,0,1,0.807756979,0.849241618,ssRNA(-),1,reservoir_only
Borna_disease_virus,Lynx_lynx,1,0,1,"saliva, nasal excretia",0,0,1,reported psychiatric symptoms debated (largely debunked); encephalitis also posited,1,low,Genotypes of horse-like borna found in humans but no transmission demonstrated outside of squirrel. Squirrel cases appear to be highly fatal (though note that all 4 patients were older and had pre-exisiting conditions). Horse transmission documented between humans through organ donation.,wild,PCR,CARNIVORA,FELIDAE,Lynx,lynx,Mononegavirales,Bornaviridae,NA,Bornavirus,8910,FALSE,FALSE,SS,RNA,enveloped,Chare et al. 2003,Degiorgis et al. 2000,0,19300,2.3,321.6,66.99,1167,115,0.667043113,1,2,0.807756979,0.849241618,ssRNA(-),1,reservoir_only
Borna_disease_virus,Equus_caballus,1,1,2,"saliva, nasal excretia",0,0,1,reported psychiatric symptoms debated (largely debunked); encephalitis also posited,1,low,Genotypes of horse-like borna found in humans but no transmission demonstrated outside of squirrel. Squirrel cases appear to be highly fatal (though note that all 4 patients were older and had pre-exisiting conditions). Horse transmission documented between humans through organ donation.,domestic,PCR,PERISSODACTYLA,EQUIDAE,Equus,caballus,Mononegavirales,Bornaviridae,NA,Bornavirus,8910,FALSE,FALSE,SS,RNA,enveloped,Chare et al. 2003,Dauphin et al. 2001,0,403598.53,1,744,338.97,2067,771,0.636987555,5,23,0.807756979,0.849241618,ssRNA(-),1,direct_host
Borna_disease_virus,Ovis_aries,1,0,2,"saliva, nasal excretia",0,0,1,reported psychiatric symptoms debated (largely debunked); encephalitis also posited,1,low,Genotypes of horse-like borna found in humans but no transmission demonstrated outside of squirrel. Squirrel cases appear to be highly fatal (though note that all 4 patients were older and had pre-exisiting conditions). Horse transmission documented between humans through organ donation.,domestic,PCR,CETARTIODACTYLA,BOVIDAE,Ovis,aries,Mononegavirales,Bornaviridae,NA,Bornavirus,8910,FALSE,FALSE,SS,RNA,enveloped,Chare et al. 2003,Vahlenkamp et al. 2002,0,39097.89,1.19,230.04,152.54,3212,2019,0.745670829,6,26,0.807756979,0.849241618,ssRNA(-),1,reservoir_only
Borna_disease_virus,Sciurus_variegatoides,1,1,1,"saliva, nasal excretia",0,0,1,reported psychiatric symptoms debated (largely debunked); encephalitis also posited,1,low,Genotypes of horse-like borna found in humans but no transmission demonstrated outside of squirrel. Squirrel cases appear to be highly fatal (though note that all 4 patients were older and had pre-exisiting conditions). Horse transmission documented between humans through organ donation.,domestic,"PCR, metagenomics",RODENTIA,SCIURIDAE,Sciurus,variegatoides,Mononegavirales,Bornaviridae,NA,Bornavirus,8910,FALSE,FALSE,SS,RNA,enveloped,Chare et al. 2003,Chare et al. 2003,0,485,4.99,216,41.395,19,2,0.8342351,1,1,0.807756979,0.849241618,ssRNA(-),1,direct_host
Borna_disease_virus,Procyon_lotor,1,0,1,"saliva, nasal excretia",0,0,1,reported psychiatric symptoms debated (largely debunked); encephalitis also posited,1,low,Genotypes of horse-like borna found in humans but no transmission demonstrated outside of squirrel. Squirrel cases appear to be highly fatal (though note that all 4 patients were older and had pre-exisiting conditions). Horse transmission documented between humans through organ donation.,wild,PCR,CARNIVORA,PROCYONIDAE,Procyon,lotor,Mononegavirales,Bornaviridae,NA,Bornavirus,8910,FALSE,FALSE,SS,RNA,enveloped,Chare et al. 2003,Hagiwara et al. 2009,0,6373.72,3.06,252,65,1699,655,0.753360524,4,5,0.807756979,0.849241618,ssRNA(-),1,reservoir_only
Borna_disease_virus,Equus_asinus,1,0,2,"saliva, nasal excretia",0,0,1,reported psychiatric symptoms debated (largely debunked); encephalitis also posited,1,low,Genotypes of horse-like borna found in humans but no transmission demonstrated outside of squirrel. Squirrel cases appear to be highly fatal (though note that all 4 patients were older and had pre-exisiting conditions). Horse transmission documented between humans through organ donation.,domestic,PCR,PERISSODACTYLA,EQUIDAE,Equus,asinus,Mononegavirales,Bornaviridae,NA,Bornavirus,8910,FALSE,FALSE,SS,RNA,enveloped,Chare et al. 2003,Zhang et al. 2014,0,164998.49,1,564,367,470,127,0.62644154,2,7,0.807756979,0.849241618,ssRNA(-),1,reservoir_only
Borna_disease_virus,Canis_lupus,1,0,1,"saliva, nasal excretia",0,0,1,reported psychiatric symptoms debated (largely debunked); encephalitis also posited,1,low,Genotypes of horse-like borna found in humans but no transmission demonstrated outside of squirrel. Squirrel cases appear to be highly fatal (though note that all 4 patients were older and had pre-exisiting conditions). Horse transmission documented between humans through organ donation.,domestic,PCR,CARNIVORA,CANIDAE,Canis,familiaris,Mononegavirales,Bornaviridae,NA,Bornavirus,8910,FALSE,FALSE,SS,RNA,enveloped,Chare et al. 2003,Zhang et al. 2014,0,31756.51,4.98,354,63.5,3742,345,0.772510859,1,3,0.807756979,0.849241618,ssRNA(-),1,reservoir_only
Borna_disease_virus,Oryctolagus_cuniculus,1,0,1,"saliva, nasal excretia",0,0,1,reported psychiatric symptoms debated (largely debunked); encephalitis also posited,1,low,Genotypes of horse-like borna found in humans but no transmission demonstrated outside of squirrel. Squirrel cases appear to be highly fatal (though note that all 4 patients were older and had pre-exisiting conditions). Horse transmission documented between humans through organ donation.,domestic,PCR,LAGOMORPHA,LEPORIDAE,Oryctolagus,cuniculus,Mononegavirales,Bornaviridae,NA,Bornavirus,8910,FALSE,FALSE,SS,RNA,enveloped,Chare et al. 2003,Zhang et al. 2014,0,1590.57,5.24,216,30.45,3257,1259,0.722903614,1,7,0.807756979,0.849241618,ssRNA(-),1,reservoir_only
Borna_disease_virus,Sus_scrofa,1,0,1,"saliva, nasal excretia",0,0,1,reported psychiatric symptoms debated (largely debunked); encephalitis also posited,1,low,Genotypes of horse-like borna found in humans but no transmission demonstrated outside of squirrel. Squirrel cases appear to be highly fatal (though note that all 4 patients were older and had pre-exisiting conditions). Horse transmission documented between humans through organ donation.,domestic,PCR,CETARTIODACTYLA,SUIDAE,Sus,scrofa,Mononegavirales,Bornaviridae,NA,Bornavirus,8910,FALSE,FALSE,SS,RNA,enveloped,Chare et al. 2003,Zhang et al. 2014,0,84471.54,4.52,252,115.2,3932,1671,0.671770443,13,41,0.807756979,0.849241618,ssRNA(-),1,reservoir_only
Bovine_papular_stomatitis_virus,Bos_taurus,1,1,3,contact with lesions,0,0,1,lesions,1,high,Proxied recombination rate from related parapoxvirus Orf virus (same genus),domestic,PCR,CETARTIODACTYLA,BOVIDAE,Bos,taurus,Group_I,Poxviridae,Chordopoxvirinae,Parapoxvirus,134431,TRUE,FALSE,DS,DNA,enveloped,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1320068/pdf/compmed00023-0007.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1320068/pdf/compmed00023-0007.pdf,de Sant'Ana et al. 2012,0,618642.42,1,240,280.48,4238,2742,0.682652136,11,46,0,0.682652136,dsDNA,1,direct_host
Camelpox_virus,Camelus_dromedarius,1,1,3,contact with lesions or infected environment,0,0,1,lesions,1,high,"Only three cases have been confirmed, but historically, there have been many suspecte cases",domestic,Isolation,CETARTIODACTYLA,CAMELIDAE,Camelus,dromedarius,Group_I,Poxviridae,Chordopoxvirinae,Orthopoxvirus,205719,TRUE,FALSE,DS,DNA,enveloped,Bera et al. 2011; Balamurugan et al. 2013; Babkin and Babkina 2015,Bera et al. 2011,0,492714.47,0.98,480,386.51,1262,364,0.766608584,1,4,0,0.766608584,dsDNA,1,direct_host
Cercopithecine_herpesvirus_1,Macaca_cyclopis,1,1,1,direct/indirect contact,80,80,1,"encephalitis, severe neurological disease",1,high,"Seroprevelance is quite high in Macaques (often ~80%), but there has only been 40 recorded human cases",wild,Isolation,PRIMATES,CERCOPITHECIDAE,Macaca,cyclopis,Herpesvirales,Herpesviridae,Alphaherpesvirinae,Simplexvirus,156789,FALSE,FALSE,DS,DNA,enveloped,Elmore and Eberle 2008; Huff and Barry 2009,Huff et al. 2003,80,5748.94,1,360,161.06,161,40,0.383500022,2,2,0.231821392,0.405898964,dsDNA,1,direct_host
Cercopithecine_herpesvirus_1,Macaca_arctoides,1,1,1,direct/indirect contact,80,80,1,"encephalitis, severe neurological disease",1,high,"Seroprevelance is quite high in Macaques (often ~80%), but there has only been 40 recorded human cases",wild,Isolation,PRIMATES,CERCOPITHECIDAE,Macaca,arctoides,Herpesvirales,Herpesviridae,Alphaherpesvirinae,Simplexvirus,156789,FALSE,FALSE,DS,DNA,enveloped,Elmore and Eberle 2008; Huff and Barry 2008,Huff et al. 2003,80,9358.04,1.01,360,176.6,456,53,0.401323596,2,2,0.231821392,0.405898964,dsDNA,1,direct_host
